Nivå 0;Nivå 0 navn;Nivå 1;Nivå 1 navn;Nivå 2;Nivå 2 navn;Nivå 3;Nivå 3 navn;Nivå 4;Nivå 4 navn;Nivå 5;Nivå 5 navn;Type;Nivå 6;Nivå 6 navn;Ytelsesksted?;Hjelpekolonne;BESKRIVELSE;ATTRIBUTE14;ATTRIBUTE15;CREATION_DATE;SUMMARY_FLAG;START_DATE_ACTIVE;END_DATE_ACTIVE;;Sisrte bruksdato;;;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;020780;AVSL NAV TILTAK AKERSHUS;;;;;020780;AVSL NAV TILTAK AKERSHUS;;;03.12.2013;N;;02.04.2014;;23.01.2014;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA13;NAV Vestby;021100;NAV Vestby;;;;;021100;NAV Vestby;NAV-kontor;0211000;03.12.2013;N;;;;25.01.2023;;021100;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA14;NAV Nordre Follo;021300;NAV Nordre Follo;;;;;021300;NAV Nordre Follo;NAV-kontor;0213000;03.12.2013;N;;;;26.01.2023;;021300;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA15;NAV Ås;021400;NAV Ås;;;;;021400;NAV Ås;NAV-kontor;0214000;03.12.2013;N;;;;26.01.2023;;021400;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA16;NAV Frogn;021500;NAV Frogn;;;;;021500;NAV Frogn;NAV-kontor;0215000;03.12.2013;N;;;;26.01.2023;;021500;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA17;NAV Nesodden;021600;NAV Nesodden;;;;;021600;NAV Nesodden;NAV-kontor;0216000;03.12.2013;N;;;;26.01.2023;;021600;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;021700;AVSL NAV Oppegård;;;;;021700;AVSL NAV Oppegård;;;03.12.2013;N;;15.02.2020;;29.11.2022;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;021900;AVSL NAV Bærum;;;;;021900;AVSL NAV Bærum;;;03.12.2013;N;;31.03.2022;;30.11.2022;;021900;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;022000;AVSL NAV Asker;;;;;022000;AVSL NAV Asker;;;03.12.2013;N;;19.04.2022;;06.12.2021;;022000;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA18;NAV Aurskog-Høland;022100;NAV Aurskog-Høland;;;;;022100;NAV Aurskog-Høland;NAV-kontor;0221000;03.12.2013;N;;;;25.01.2023;;022100;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;022600;AVSL NAV Sørum;;;;;022600;AVSL NAV Sørum;;;03.12.2013;N;;15.02.2020;;29.11.2022;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;022700;AVSL NAV Fet;;;;;022700;AVSL NAV Fet;;;03.12.2013;N;;15.02.2020;;29.11.2022;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA19;NAV Rælingen;022800;NAV Rælingen;;;;;022800;NAV Rælingen;NAV-kontor;0228000;03.12.2013;N;;;;25.01.2023;;022800;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA20;NAV Enebakk;022900;NAV Enebakk;;;;;022900;NAV Enebakk;NAV-kontor;0229000;03.12.2013;N;;;;25.01.2023;;022900;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA21;NAV Lørenskog;023000;NAV Lørenskog;;;;;023000;NAV Lørenskog;NAV-kontor;0230000;03.12.2013;N;;;;26.01.2023;;023000;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA22;NAV Lillestrøm;023100;NAV Lillestrøm;;;;;023100;NAV Lillestrøm;NAV-kontor;0231000;03.12.2013;N;;;;26.01.2023;;023100;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA23;NAV Nittedal;023300;NAV Nittedal;;;;;023300;NAV Nittedal;NAV-kontor;0233000;03.12.2013;N;;;;26.01.2023;;023300;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;023400;AVSL NAV Gjerdrum;;;;;023400;AVSL NAV Gjerdrum;;;03.12.2013;N;;01.06.2022;;20.06.2022;;023400;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA24;NAV Ullensaker;023500;NAV Ullensaker;;;;;023500;NAV Ullensaker;NAV-kontor;0235000;03.12.2013;N;;;;26.01.2023;;023500;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA25;NAV Nes;023600;NAV Nes;;;;;023600;NAV Nes;NAV-kontor;0236000;03.12.2013;N;;;;26.01.2023;;023600;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA26;NAV Eidsvoll;023700;NAV Eidsvoll;;;;;023700;NAV Eidsvoll;NAV-kontor;0237000;03.12.2013;N;;;;26.01.2023;;023700;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA27;NAV Nannestad;023800;NAV Nannestad;;;;;023800;NAV Nannestad;NAV-kontor;0238000;03.12.2013;N;;;;25.01.2023;;023800;;;;;
